Date & Time,use [kW],gen [kW],Grid [kW],Solar [kW],Solar+ [kW]
1/3/15 21:00,55.22937028,-0.000504722,55.21662528,-0.000504722,0.012745
1/3/15 22:00,55.51630111,-0.00532,55.508335,-0.00532,0.007966111
1/3/15 23:00,53.52037694,-0.006439444,53.51355139,-0.006439444,0.006825556
1/4/15 0:00,53.46774917,-0.006476944,53.46088667,-0.006476944,0.0068625
1/4/15 1:00,53.19152194,-0.006300278,53.18441028,-0.006300278,0.007111667
1/4/15 2:00,52.74152722,-0.006504444,52.73462333,-0.006504444,0.006903889
1/4/15 3:00,52.83449667,-0.006839167,52.82787722,-0.006839167,0.006619444
1/4/15 4:00,53.01613472,-0.007646667,53.01016861,-0.007646667,0.005966111
1/4/15 5:00,54.11929889,-0.006529167,54.11210472,-0.006529167,0.007194167
1/4/15 6:00,53.65940028,-0.006989722,53.65252389,-0.006989722,0.006876389
1/4/15 7:00,57.11296167,-0.006749722,57.10555778,-0.006749722,0.007403889
1/4/15 8:00,54.48174361,-0.060021944,54.455265,-0.060021944,0.026478611
1/4/15 9:00,56.053145,0.052885278,55.91984083,0.052885278,0.133304167
1/4/15 10:00,58.47071528,2.174604167,56.27494333,2.174604167,2.195771944
1/4/15 11:00,58.95031917,3.036552778,55.91376639,3.036552778,3.036552778
1/4/15 12:00,59.86915889,3.836201667,56.03295722,3.836201667,3.836201667
1/4/15 13:00,55.95436778,12.15296611,43.80140167,12.15296611,12.15296611
1/4/15 14:00,55.86976444,16.63519917,39.23456528,16.63519917,16.63519917
1/4/15 15:00,57.47575694,16.37505889,41.10069806,16.37505889,16.37505889
1/4/15 16:00,58.09262222,1.970988889,56.12163333,1.970988889,1.970988889
1/4/15 17:00,57.95101167,0.27674,57.63258361,0.27674,0.318428056
1/4/15 18:00,59.06468167,-0.003664444,59.05496167,-0.003664444,0.00972
1/4/15 19:00,56.54243944,-0.004882778,56.53382583,-0.004882778,0.008613611
1/4/15 20:00,56.90392444,-0.004894444,56.89495194,-0.004894444,0.0089725
1/4/15 21:00,56.32682917,-0.005262222,56.3183,-0.005262222,0.008529167
1/4/15 22:00,55.47521583,-0.007151111,55.46853139,-0.007151111,0.006684444
1/4/15 23:00,51.93256167,-0.009285,51.92805,-0.009285,0.004511667
1/5/15 0:00,35.12832,-0.007086667,35.12227917,-0.007086667,0.006040833
1/5/15 1:00,33.44620722,-0.008950556,33.44193861,-0.008950556,0.004268611
1/5/15 2:00,33.59624278,-0.008966944,33.591855,-0.008966944,0.004387778
1/5/15 3:00,38.11939111,-0.0100875,38.11612083,-0.0100875,0.003270278
1/5/15 4:00,38.18499306,-0.009715,38.18112056,-0.009715,0.0038725
1/5/15 5:00,42.36826861,-0.008798889,42.3633475,-0.008798889,0.004921111
1/5/15 6:00,57.68594389,-0.006479444,57.67814778,-0.006479444,0.007796111
1/5/15 7:00,57.90901556,-0.006672778,57.90062611,-0.006672778,0.008389444
1/5/15 8:00,56.07609167,-0.035868333,56.05335139,-0.035868333,0.022740278
1/5/15 9:00,56.70280194,2.079056944,54.61416333,2.079056944,2.088638611
1/5/15 10:00,57.90882694,4.0028825,53.90594444,4.0028825,4.0028825
1/5/15 11:00,58.27009333,4.579085833,53.6910075,4.579085833,4.579085833
1/5/15 12:00,57.89442889,5.3794675,52.51496139,5.3794675,5.3794675
1/5/15 13:00,56.34375444,6.784199722,49.55955472,6.784199722,6.784199722
1/5/15 14:00,54.26597139,14.27155944,39.99441194,14.27155944,14.27155944
1/5/15 15:00,57.20615167,13.65125028,43.55490139,13.65125028,13.65125028
1/5/15 16:00,57.37644583,7.114540278,50.26190556,7.114540278,7.114540278
1/5/15 17:00,58.13785389,1.450601389,56.67620278,1.450601389,1.461651111
1/5/15 18:00,64.44606806,0.0093775,64.42775778,0.0093775,0.018310278
1/5/15 19:00,61.37731667,0.004797778,61.36377917,0.004797778,0.0135375
1/5/15 20:00,60.17561917,0.005420833,60.16122389,0.005420833,0.014395278
1/5/15 21:00,59.38645222,0.005601944,59.37198444,0.005601944,0.014467778
1/5/15 22:00,56.72392111,0.004286667,56.71047806,0.004286667,0.013443056
1/5/15 23:00,50.08943667,0.005816111,50.07446889,0.005816111,0.014967778
1/6/15 0:00,49.61332611,0.007526111,49.59656194,0.007526111,0.016764167
1/6/15 1:00,48.44744139,0.009916111,48.42828361,0.009916111,0.019157778
1/6/15 2:00,29.05467278,-0.000919444,29.04424694,-0.000919444,0.010425833
1/6/15 3:00,29.59891444,-0.004100556,29.59186806,-0.004100556,0.007046389
1/6/15 4:00,35.59559278,-0.000225,35.5854025,-0.000225,0.010190278
1/6/15 5:00,39.55130917,0.004541111,39.53560833,0.004541111,0.015700833
1/6/15 6:00,49.2739125,0.003929167,49.25848917,0.003929167,0.015423333
1/6/15 7:00,57.49340222,0.006399722,57.47560111,0.006399722,0.017801111
1/6/15 8:00,58.01401361,1.351290833,56.63567306,1.351290833,1.378340556
1/6/15 9:00,58.34252111,15.24309944,43.09942167,15.24309944,15.24309944
1/6/15 10:00,60.21725028,19.99961722,40.21763306,19.99961722,19.99961722
1/6/15 11:00,57.83480083,34.89745833,22.9373425,34.89745833,34.89745833
1/6/15 12:00,60.72462889,45.70139167,15.02323722,45.70139167,45.70139167
1/6/15 13:00,59.422775,35.37815583,24.04461917,35.37815583,35.37815583
1/6/15 14:00,59.06125444,26.83290611,32.22834833,26.83290611,26.83290611
1/6/15 15:00,57.86995611,12.6557775,45.21417861,12.6557775,12.6557775
1/6/15 16:00,59.48786194,7.070647222,52.41721472,7.070647222,7.070647222
1/6/15 17:00,63.82558278,2.403277778,61.41307389,2.403277778,2.412508889
1/6/15 18:00,65.64986972,-0.025723056,65.63359444,-0.025723056,0.016275278
1/6/15 19:00,62.81311444,0.003366667,62.80056667,0.003366667,0.012547778
1/6/15 20:00,60.87531333,0.005096389,60.86057083,0.005096389,0.0147425
